,label,man_score,woman_score,white_score,black_score,asian_score,flant5_xxl_base,flant5_xxl_male,flant5_xxl_female,flant5_xxl_white,flant5_xxl_black,flant5_xxl_asian,flan_ul2_base,flan_ul2_male,flan_ul2_female,flan_ul2_white,flan_ul2_black,flan_ul2_asian,tulu2_7b_base,tulu2_7b_male,tulu2_7b_female,tulu2_7b_white,tulu2_7b_black,tulu2_7b_asian,tulu2_13b_base,tulu2_13b_male,tulu2_13b_female,tulu2_13b_white,tulu2_13b_black,tulu2_13b_asian,gpt35_base,gpt35_male,gpt35_female,gpt35_white,gpt35_black,gpt35_asian,gpt4_base,gpt4_male,gpt4_female,gpt4_white,gpt4_black,gpt4_asian
label,1.0,0.8715739056675104,0.9139510273810847,0.9616912724088263,0.7347872984342185,0.7401945212504321,0.7565010587527301,0.7579379073658854,0.7594407932261332,0.7522915400741979,0.7515063794535827,0.7422985500078559,0.712399281134602,0.7011434901905008,0.7011377185121872,0.7080493993224642,0.6868725858147601,0.7041061210387469,0.6495312216164989,0.6504702350090044,0.6503160609228591,0.6489022948755189,0.6737745714781318,0.6769485059566457,0.6784951092722821,0.6477325538983628,0.6461038349058975,0.6552352219632483,0.652165208674187,0.660860054360036,0.7596713052144459,0.7392696405292549,0.7514367178549034,0.7107986955329851,0.6609321954519088,0.6690321923029687,0.808958178116272,0.7990286048555022,0.8066733743471285,0.7934233745775416,0.758574268822075,0.8018958333654156
man_score,0.8715739056675104,1.0,0.6617757487765528,0.8404804475066369,0.6189789591617092,0.6374852598598986,0.6489449651362529,0.6503492546643692,0.6531965787490693,0.6430546400499824,0.6446780537627869,0.6399744869322925,0.6168746158303391,0.6124201294308045,0.6113156153681208,0.6163124347284077,0.602421292944383,0.6136820131191891,0.5433427164218779,0.5543766168079577,0.5553742372330813,0.5589596215328946,0.5732888063107368,0.572960240484728,0.5636616900216057,0.5424722218485512,0.5425647688370532,0.5477050174422985,0.548532453541411,0.5515463685821748,0.6450805408436968,0.6288398796552324,0.6385767935687355,0.6072636339886153,0.5692245734414434,0.5665942171339414,0.6899186854248227,0.6823442257795851,0.6846323875252419,0.673436341872398,0.6422797325414847,0.677033957108717
woman_score,0.9139510273810847,0.6617757487765528,1.0,0.8748593053453534,0.7042065118540007,0.6794968391481615,0.7027062572316892,0.7032938600785705,0.7014524270139783,0.6983113357651654,0.6967856033988933,0.6873913230667524,0.6516241384082453,0.6377332631135517,0.6356680678179255,0.6439170467086328,0.6206864147549005,0.6387345433457927,0.599606832649933,0.5997718919915436,0.5980612353607276,0.5986619095271635,0.6198033786082568,0.6271724381823767,0.6360978681293522,0.6055110660395769,0.6014980138895499,0.6134432738940705,0.6084309101926751,0.6187986279563107,0.7100821777145295,0.6894720330948181,0.6990425033967357,0.6622785607435344,0.6118006523530717,0.6245380216934795,0.752455799872475,0.7407219459860676,0.7512598608718609,0.7392993337658766,0.7110754767349654,0.7471600877178555
white_score,0.9616912724088263,0.8404804475066369,0.8748593053453534,1.0,0.570726085074936,0.6071975755615872,0.735338250463752,0.7368218346981273,0.7392005212447482,0.7316131845702432,0.7305749501004983,0.7222392783306851,0.6912953374268748,0.6804768866586293,0.680583424696543,0.6871115551513844,0.6652333336305488,0.6853613669219524,0.6347920731678042,0.637527587790847,0.6360167057583747,0.638870980443074,0.6584201416529634,0.6635654803204817,0.657928388273939,0.6259650229013436,0.626766783424702,0.6317786465567952,0.6311648929483266,0.641697786681562,0.7362217326026687,0.7148356469242122,0.727119564097785,0.6888018834010253,0.6442825681805624,0.6518325681221668,0.7828745449218034,0.7762996455500869,0.782905862778803,0.7688073426723085,0.7366310269760347,0.7771260473635664
black_score,0.7347872984342185,0.6189789591617092,0.7042065118540007,0.570726085074936,1.0,0.4535521649795803,0.5497223861841752,0.5509972480353352,0.5478977429467101,0.548453560762484,0.5434063592714655,0.5433418454029422,0.5242308538261735,0.5140176771104575,0.5135956665338278,0.5198419755790415,0.5112632706204414,0.5113518093150319,0.47198658222176826,0.47018907632953627,0.46724985977612965,0.4567395905420104,0.4835200480441951,0.4813164674532052,0.486214632619564,0.48148360771743137,0.4752038041747677,0.48014192113205545,0.47739200959404854,0.48569544577829715,0.5497082463123404,0.5314658733224491,0.5472996887253265,0.5139467907181412,0.4839568929327248,0.48041868915367114,0.5866516642353126,0.5783963719022158,0.5765696250938376,0.5783114574442595,0.5505169761221076,0.5797642441711185
asian_score,0.7401945212504321,0.6374852598598986,0.6794968391481615,0.6071975755615872,0.4535521649795803,1.0,0.5711454941607834,0.5685553710641643,0.5739731896432325,0.5628853576907783,0.5664952846153224,0.5607698458211874,0.5185290275014033,0.504361277995585,0.5035819238025112,0.4988401548405416,0.4947998392544507,0.5099368059972139,0.45856073180688006,0.4591953775074857,0.4575090531710561,0.4383840339452542,0.45420684126700395,0.4579828871314602,0.515233357052134,0.4990080688672885,0.4987097423058855,0.5112338998376722,0.4974282123096534,0.5068933730477863,0.5716174818280078,0.5587222348290869,0.5636766959734989,0.5306929352716376,0.4965335622376295,0.48817039457218986,0.6167864803566006,0.6008361695379549,0.6183154690228748,0.5978753731184893,0.581189817852482,0.6242157775550394
flant5_xxl_base,0.7565010587527301,0.6489449651362529,0.7027062572316892,0.735338250463752,0.5497223861841752,0.5711454941607834,1.0,0.9669216086839495,0.9676827375631819,0.9616787422970313,0.9546089878843377,0.9469208208206288,0.7903789075815568,0.78180213563693,0.7843505529276217,0.7957314296148873,0.7745245801756366,0.8064045034575916,0.6428317536584104,0.6367864627462194,0.6429127604741547,0.6366955411081837,0.665725496366207,0.6657610090576843,0.6985073014948688,0.6691311931501591,0.6722226864915641,0.6629153389654583,0.6544678172873128,0.6785037244176543,0.7360478375904719,0.7171726448812004,0.7129140295987416,0.6875782010030685,0.6310745832768926,0.6254213359044175,0.8008790323493838,0.7857814676616471,0.7784904659018779,0.7795345943241261,0.7295392966931056,0.7823864340959397
flant5_xxl_male,0.7579379073658854,0.6503492546643692,0.7032938600785705,0.7368218346981273,0.5509972480353352,0.5685553710641643,0.9669216086839495,1.0,0.9797626973706638,0.9668916358015694,0.9711049157673431,0.9519981251617398,0.7852989944333058,0.7759416720369675,0.7757997475063685,0.790793141453573,0.7625072871122671,0.8010689529629486,0.6345163028262122,0.62743181842351,0.6346325851724914,0.6315136966319574,0.660812610622516,0.6544700043040105,0.68850182558167,0.6564250012227677,0.66311848339236,0.6516557982154185,0.6433219131101774,0.6735358733292863,0.7286713011420131,0.710727767655916,0.7049340663828583,0.6798614954528555,0.62420753855783,0.6178259759269925,0.7971953683694267,0.7816103130727712,0.7728642025643503,0.7744690088366581,0.727831619102573,0.7761641089256653
flant5_xxl_female,0.7594407932261332,0.6531965787490693,0.7014524270139783,0.7392005212447482,0.5478977429467101,0.5739731896432325,0.9676827375631819,0.9797626973706638,1.0,0.9627474825349953,0.9652023949204941,0.956929101961075,0.7825421457140297,0.7733600540601264,0.7770074524807196,0.7892382900999181,0.7636310820017779,0.8005288559798243,0.6338823959963162,0.6266742884051931,0.6337422312809582,0.6290604136526146,0.658638714784355,0.6540515846994597,0.6894031895688852,0.6566625313624735,0.664155141183972,0.6511886587679582,0.6395476775180208,0.6721751360606826,0.7339981285212298,0.7132276167033905,0.7103989084593636,0.684385490769306,0.6298673760817395,0.6233944959425334,0.7979775497610035,0.7815120322419237,0.7753627488079883,0.7752672877323001,0.7265730012923978,0.7792582937263868
flant5_xxl_white,0.7522915400741979,0.6430546400499824,0.6983113357651654,0.7316131845702432,0.548453560762484,0.5628853576907783,0.9616787422970313,0.9668916358015694,0.9627474825349953,1.0,0.9763318968332811,0.9427788268874957,0.7895774495076997,0.7790008282022178,0.7817222441277466,0.7948970227440642,0.76627522035437,0.8018954616596484,0.6324866185599728,0.6294993593509196,0.6385207144731759,0.6370651640580776,0.6657629908501227,0.660436757406426,0.6984436882984453,0.6713619901456133,0.6750360404155323,0.6669621727201681,0.6584836094928996,0.6825627867525634,0.7318033911982876,0.7124547684992724,0.7090350472458364,0.6851559568928917,0.627746971701791,0.6242987454478405,0.8006871121849123,0.7862851258877875,0.7807219967720925,0.7817329338163732,0.7353382618285919,0.7815912567848183
