dimension,model,prefix,label,correlation
offensiveness,flant5_xxl,base,overall,0.6310972335037462
offensiveness,flant5_xxl,base,man,0.5319618899700346
offensiveness,flant5_xxl,base,woman,0.5564626210841518
offensiveness,flant5_xxl,base,white,0.6019991779263252
offensiveness,flant5_xxl,base,black,0.4175435179452526
offensiveness,flant5_xxl,base,asian,0.3475509309102312
offensiveness,flant5_xxl,male,overall,0.6167272508716982
offensiveness,flant5_xxl,male,man,0.5193201194596067
offensiveness,flant5_xxl,male,woman,0.5434946064989561
offensiveness,flant5_xxl,male,white,0.590557954462123
offensiveness,flant5_xxl,male,black,0.4172094649598708
offensiveness,flant5_xxl,male,asian,0.3464145369113536
offensiveness,flant5_xxl,female,overall,0.6196893147369731
offensiveness,flant5_xxl,female,man,0.5254659129245522
offensiveness,flant5_xxl,female,woman,0.5438629943862142
offensiveness,flant5_xxl,female,white,0.5980513794282494
offensiveness,flant5_xxl,female,black,0.4083830066677951
offensiveness,flant5_xxl,female,asian,0.3317285093416235
offensiveness,flant5_xxl,white,overall,0.6114909315439118
offensiveness,flant5_xxl,white,man,0.5195337665946507
offensiveness,flant5_xxl,white,woman,0.5376314641022173
offensiveness,flant5_xxl,white,white,0.5925269639415431
offensiveness,flant5_xxl,white,black,0.3716761330126513
offensiveness,flant5_xxl,white,asian,0.3471777516808613
offensiveness,flant5_xxl,black,overall,0.5929909481056643
offensiveness,flant5_xxl,black,man,0.5099603944915532
offensiveness,flant5_xxl,black,woman,0.5127410065060246
offensiveness,flant5_xxl,black,white,0.5780133479020543
offensiveness,flant5_xxl,black,black,0.3643973446880534
offensiveness,flant5_xxl,black,asian,0.3229042029301583
offensiveness,flant5_xxl,asian,overall,0.6302163884986435
offensiveness,flant5_xxl,asian,man,0.5349833841843766
offensiveness,flant5_xxl,asian,woman,0.5478798680806379
offensiveness,flant5_xxl,asian,white,0.6082045186126138
offensiveness,flant5_xxl,asian,black,0.4096721996786086
offensiveness,flant5_xxl,asian,asian,0.348800216499086
offensiveness,flan_ul2,base,overall,0.5992137656423059
offensiveness,flan_ul2,base,man,0.5041695312578173
offensiveness,flan_ul2,base,woman,0.5267648924638613
offensiveness,flan_ul2,base,white,0.5754859983861424
offensiveness,flan_ul2,base,black,0.3658734367253837
offensiveness,flan_ul2,base,asian,0.3958001184925516
offensiveness,flan_ul2,male,overall,0.5729758474283451
offensiveness,flan_ul2,male,man,0.495999280399002
offensiveness,flan_ul2,male,woman,0.4910759036381726
offensiveness,flan_ul2,male,white,0.551038956793859
offensiveness,flan_ul2,male,black,0.3454835173205474
offensiveness,flan_ul2,male,asian,0.3695571234698089
offensiveness,flan_ul2,female,overall,0.5629055850996536
offensiveness,flan_ul2,female,man,0.4861893437406697
offensiveness,flan_ul2,female,woman,0.4831836090579672
offensiveness,flan_ul2,female,white,0.5440088078655332
offensiveness,flan_ul2,female,black,0.3378123421719771
offensiveness,flan_ul2,female,asian,0.3703133682585326
offensiveness,flan_ul2,white,overall,0.5580621230876116
offensiveness,flan_ul2,white,man,0.4972174082362768
offensiveness,flan_ul2,white,woman,0.4733979719646881
offensiveness,flan_ul2,white,white,0.5313268855701476
offensiveness,flan_ul2,white,black,0.3591534997362781
offensiveness,flan_ul2,white,asian,0.3937482814057905
offensiveness,flan_ul2,black,overall,0.4932662462760658
offensiveness,flan_ul2,black,man,0.4270228697967105
offensiveness,flan_ul2,black,woman,0.4232306254312573
offensiveness,flan_ul2,black,white,0.4705420810258504
offensiveness,flan_ul2,black,black,0.3084064798882119
offensiveness,flan_ul2,black,asian,0.3444813152337214
offensiveness,flan_ul2,asian,overall,0.5026798167075456
offensiveness,flan_ul2,asian,man,0.446437523850967
offensiveness,flan_ul2,asian,woman,0.4252166996768892
offensiveness,flan_ul2,asian,white,0.4867671909413926
offensiveness,flan_ul2,asian,black,0.3096022223640012
offensiveness,flan_ul2,asian,asian,0.344964074328234
offensiveness,tulu2_7b,base,overall,0.5096203786170137
offensiveness,tulu2_7b,base,man,0.4223700602759817
offensiveness,tulu2_7b,base,woman,0.4453969978480681
offensiveness,tulu2_7b,base,white,0.5029648550174401
offensiveness,tulu2_7b,base,black,0.2975762915974808
offensiveness,tulu2_7b,base,asian,0.2946989807205615
offensiveness,tulu2_7b,male,overall,0.4897901686010408
offensiveness,tulu2_7b,male,man,0.4166921665471217
offensiveness,tulu2_7b,male,woman,0.4234715230111047
offensiveness,tulu2_7b,male,white,0.4862438137932486
offensiveness,tulu2_7b,male,black,0.2728738259148599
offensiveness,tulu2_7b,male,asian,0.2722668990457823
offensiveness,tulu2_7b,female,overall,0.4861198171589656
offensiveness,tulu2_7b,female,man,0.4071402120060726
offensiveness,tulu2_7b,female,woman,0.42663758188819
offensiveness,tulu2_7b,female,white,0.4800880482301234
offensiveness,tulu2_7b,female,black,0.2842734411871652
offensiveness,tulu2_7b,female,asian,0.2835870496096823
offensiveness,tulu2_7b,white,overall,0.4882449263339071
offensiveness,tulu2_7b,white,man,0.3996725249407122
offensiveness,tulu2_7b,white,woman,0.4314264049107658
offensiveness,tulu2_7b,white,white,0.4892836428255404
offensiveness,tulu2_7b,white,black,0.2633909293569601
offensiveness,tulu2_7b,white,asian,0.2783023291366743
offensiveness,tulu2_7b,black,overall,0.4845413807758098
offensiveness,tulu2_7b,black,man,0.4107873869912165
offensiveness,tulu2_7b,black,woman,0.4248413999659936
offensiveness,tulu2_7b,black,white,0.4782436407916484
offensiveness,tulu2_7b,black,black,0.2849336002987164
offensiveness,tulu2_7b,black,asian,0.3034512606617541
offensiveness,tulu2_7b,asian,overall,0.4961628271977195
offensiveness,tulu2_7b,asian,man,0.4082418450854541
offensiveness,tulu2_7b,asian,woman,0.4458217845488397
offensiveness,tulu2_7b,asian,white,0.4913546225513295
offensiveness,tulu2_7b,asian,black,0.2924411347701935
offensiveness,tulu2_7b,asian,asian,0.2960503932838152
offensiveness,tulu2_13b,base,overall,0.4822184315537349
offensiveness,tulu2_13b,base,man,0.4152686962801709
offensiveness,tulu2_13b,base,woman,0.4161671673433569
offensiveness,tulu2_13b,base,white,0.4738985681585269
offensiveness,tulu2_13b,base,black,0.3042920630014032
offensiveness,tulu2_13b,base,asian,0.2844118831835016
offensiveness,tulu2_13b,male,overall,0.4136124036632144
offensiveness,tulu2_13b,male,man,0.3522727477272844
offensiveness,tulu2_13b,male,woman,0.3559206753309666
offensiveness,tulu2_13b,male,white,0.4021200650791122
offensiveness,tulu2_13b,male,black,0.2479696275706895
offensiveness,tulu2_13b,male,asian,0.239217942414493
offensiveness,tulu2_13b,female,overall,0.4169525916764751
offensiveness,tulu2_13b,female,man,0.3503702992404808
offensiveness,tulu2_13b,female,woman,0.3614456065718602
offensiveness,tulu2_13b,female,white,0.4098159150088797
offensiveness,tulu2_13b,female,black,0.2363094274973983
offensiveness,tulu2_13b,female,asian,0.2420616372916001
offensiveness,tulu2_13b,white,overall,0.442498519759601
offensiveness,tulu2_13b,white,man,0.3887655684431103
offensiveness,tulu2_13b,white,woman,0.373586655058315
offensiveness,tulu2_13b,white,white,0.4327759114944813
offensiveness,tulu2_13b,white,black,0.2589062196486358
offensiveness,tulu2_13b,white,asian,0.2921108297142175
offensiveness,tulu2_13b,black,overall,0.4269931392597722
offensiveness,tulu2_13b,black,man,0.3620314480103083
offensiveness,tulu2_13b,black,woman,0.3661716047120646
offensiveness,tulu2_13b,black,white,0.4204665028538389
offensiveness,tulu2_13b,black,black,0.2472204155635198
offensiveness,tulu2_13b,black,asian,0.2441225621377301
offensiveness,tulu2_13b,asian,overall,0.4311887228196946
offensiveness,tulu2_13b,asian,man,0.3596020510761008
offensiveness,tulu2_13b,asian,woman,0.3697954446874392
offensiveness,tulu2_13b,asian,white,0.4230881072145533
offensiveness,tulu2_13b,asian,black,0.2607345956674202
offensiveness,tulu2_13b,asian,asian,0.2709734959943038
offensiveness,gpt35,base,overall,0.6203918940802814
offensiveness,gpt35,base,man,0.524355591371667
offensiveness,gpt35,base,woman,0.5436645314399717
offensiveness,gpt35,base,white,0.6040269324982961
offensiveness,gpt35,base,black,0.3884783381467869
offensiveness,gpt35,base,asian,0.3876771473190454
offensiveness,gpt35,male,overall,0.5539627088945869
offensiveness,gpt35,male,man,0.4653875622075498
offensiveness,gpt35,male,woman,0.4834223756638494
offensiveness,gpt35,male,white,0.5454112252845174
offensiveness,gpt35,male,black,0.35911987265621
offensiveness,gpt35,male,asian,0.3209306491147436
offensiveness,gpt35,female,overall,0.6032692601517367
offensiveness,gpt35,female,man,0.4919888051789
offensiveness,gpt35,female,woman,0.5402869107372908
offensiveness,gpt35,female,white,0.5826309557475394
offensiveness,gpt35,female,black,0.4184764149592554
offensiveness,gpt35,female,asian,0.3780508248644917
offensiveness,gpt35,white,overall,0.4959354190302196
offensiveness,gpt35,white,man,0.4103135505371729
offensiveness,gpt35,white,woman,0.4227464196535387
offensiveness,gpt35,white,white,0.4690517122789613
offensiveness,gpt35,white,black,0.3404227485280829
offensiveness,gpt35,white,asian,0.3537605042896445
offensiveness,gpt35,black,overall,0.5234146039243152
offensiveness,gpt35,black,man,0.4154021116948088
offensiveness,gpt35,black,woman,0.4446275994003096
offensiveness,gpt35,black,white,0.4827356026330414
offensiveness,gpt35,black,black,0.3000578321562813
offensiveness,gpt35,black,asian,0.3548193566617312
offensiveness,gpt35,asian,overall,0.5424715803273265
offensiveness,gpt35,asian,man,0.4672852994794919
offensiveness,gpt35,asian,woman,0.4386041929237689
offensiveness,gpt35,asian,white,0.512408036958268
offensiveness,gpt35,asian,black,0.3671139138164042
offensiveness,gpt35,asian,asian,0.3493127412368222
offensiveness,gpt4,base,overall,0.7360565619499058
offensiveness,gpt4,base,man,0.623180311734414
offensiveness,gpt4,base,woman,0.6516307047330145
offensiveness,gpt4,base,white,0.7199791979921424
offensiveness,gpt4,base,black,0.4594605335017457
offensiveness,gpt4,base,asian,0.4235421750885306
offensiveness,gpt4,male,overall,0.6676702285847032
offensiveness,gpt4,male,man,0.5701459754200594
offensiveness,gpt4,male,woman,0.5903985803050562
offensiveness,gpt4,male,white,0.6534789071484292
offensiveness,gpt4,male,black,0.4302459146901943
offensiveness,gpt4,male,asian,0.4043555811936569
offensiveness,gpt4,female,overall,0.6627888144033481
offensiveness,gpt4,female,man,0.5502773064482256
offensiveness,gpt4,female,woman,0.5962355874430936
offensiveness,gpt4,female,white,0.650279433420227
offensiveness,gpt4,female,black,0.4114550852157176
offensiveness,gpt4,female,asian,0.4023598240723671
offensiveness,gpt4,white,overall,0.5767652725987605
offensiveness,gpt4,white,man,0.5044330742372621
offensiveness,gpt4,white,woman,0.5064625113038619
offensiveness,gpt4,white,white,0.5515531720782282
offensiveness,gpt4,white,black,0.3840714058124899
offensiveness,gpt4,white,asian,0.3796157788782125
offensiveness,gpt4,black,overall,0.4897478201907014
offensiveness,gpt4,black,man,0.4299408858575118
offensiveness,gpt4,black,woman,0.4259710859927605
offensiveness,gpt4,black,white,0.4714408086656768
offensiveness,gpt4,black,black,0.3029358838103959
offensiveness,gpt4,black,asian,0.3305942588340754
offensiveness,gpt4,asian,overall,0.5029439708523588
offensiveness,gpt4,asian,man,0.4455851890979825
offensiveness,gpt4,asian,woman,0.4364229197580292
offensiveness,gpt4,asian,white,0.4824598867051368
offensiveness,gpt4,asian,black,0.3128589719214282
offensiveness,gpt4,asian,asian,0.3290260727892076
politeness,flant5_xxl,base,overall,0.7565010587527301
politeness,flant5_xxl,base,man,0.6489449651362529
politeness,flant5_xxl,base,woman,0.7027062572316892
politeness,flant5_xxl,base,white,0.735338250463752
politeness,flant5_xxl,base,black,0.5497223861841752
politeness,flant5_xxl,base,asian,0.5711454941607834
politeness,flant5_xxl,male,overall,0.7579379073658854
politeness,flant5_xxl,male,man,0.6503492546643692
politeness,flant5_xxl,male,woman,0.7032938600785705
politeness,flant5_xxl,male,white,0.7368218346981273
politeness,flant5_xxl,male,black,0.5509972480353352
politeness,flant5_xxl,male,asian,0.5685553710641643
politeness,flant5_xxl,female,overall,0.7594407932261332
politeness,flant5_xxl,female,man,0.6531965787490693
politeness,flant5_xxl,female,woman,0.7014524270139783
