model,label,coef,se,p
flant5_xxl,woman,-0.059,0.012,0.0
flant5_xxl,asian,0.135,0.021,0.0
flant5_xxl,black,0.158,0.017,0.0
flan_ul2,woman,-0.04,0.013,0.002
flan_ul2,asian,0.14,0.023,0.0
flan_ul2,black,0.068,0.019,0.0
tulu2_7b,woman,-0.002,0.012,0.835
tulu2_7b,asian,0.2,0.02,0.0
tulu2_7b,black,0.218,0.017,0.0
tulu2_13b,woman,-0.023,0.011,0.042
tulu2_13b,asian,0.204,0.019,0.0
tulu2_13b,black,0.238,0.015,0.0
gpt35,woman,-0.008,0.011,0.468
gpt35,asian,0.206,0.018,0.0
gpt35,black,0.27,0.015,0.0
gpt4,woman,-0.065,0.012,0.0
gpt4,asian,0.172,0.021,0.0
gpt4,black,0.106,0.017,0.0
llama31_8b,woman,-0.047,0.012,0.0
llama31_8b,asian,0.132,0.021,0.0
llama31_8b,black,0.187,0.017,0.0
mistral03_7b,woman,-0.007,0.011,0.527
mistral03_7b,asian,0.177,0.02,0.0
mistral03_7b,black,0.241,0.016,0.0
qwen25_7b,woman,-0.02,0.012,0.086
qwen25_7b,asian,0.107,0.02,0.0
qwen25_7b,black,0.231,0.017,0.0
