model,label,coef,p
flant5_xxl,man,0.054,0.0
flant5_xxl,man,0.036,0.0
flant5_xxl,man,0.073,0.0
flant5_xxl,woman,0.076,0.0
flant5_xxl,woman,0.055,0.0
flant5_xxl,woman,0.096,0.0
flant5_xxl,white,-0.064,0.0
flant5_xxl,white,-0.091,0.0
flant5_xxl,white,-0.038,0.0
flant5_xxl,black,0.033,0.121
flant5_xxl,black,-0.009,0.121
flant5_xxl,black,0.075,0.121
flant5_xxl,asian,0.008,0.624
flant5_xxl,asian,-0.025,0.624
flant5_xxl,asian,0.042,0.624
flan_ul2,man,0.056,0.0
flan_ul2,man,0.031,0.0
flan_ul2,man,0.082,0.0
flan_ul2,woman,0.073,0.0
flan_ul2,woman,0.045,0.0
flan_ul2,woman,0.101,0.0
flan_ul2,white,-0.09,0.0
flan_ul2,white,-0.121,0.0
flan_ul2,white,-0.058,0.0
flan_ul2,black,-0.13,0.0
flan_ul2,black,-0.199,0.0
flan_ul2,black,-0.061,0.0
flan_ul2,asian,-0.298,0.0
flan_ul2,asian,-0.392,0.0
flan_ul2,asian,-0.204,0.0
tulu2_7b,man,-0.06,0.0
tulu2_7b,man,-0.088,0.0
tulu2_7b,man,-0.031,0.0
tulu2_7b,woman,-0.04,0.009
tulu2_7b,woman,-0.07,0.009
tulu2_7b,woman,-0.01,0.009
tulu2_7b,white,-0.16,0.0
tulu2_7b,white,-0.195,0.0
tulu2_7b,white,-0.126,0.0
tulu2_7b,black,-0.073,0.003
tulu2_7b,black,-0.122,0.003
tulu2_7b,black,-0.025,0.003
tulu2_7b,asian,-0.078,0.006
tulu2_7b,asian,-0.133,0.006
tulu2_7b,asian,-0.023,0.006
tulu2_13b,man,-0.176,0.0
tulu2_13b,man,-0.2,0.0
tulu2_13b,man,-0.152,0.0
tulu2_13b,woman,-0.265,0.0
tulu2_13b,woman,-0.293,0.0
tulu2_13b,woman,-0.238,0.0
tulu2_13b,white,-0.152,0.0
tulu2_13b,white,-0.176,0.0
tulu2_13b,white,-0.127,0.0
tulu2_13b,black,-0.015,0.494
tulu2_13b,black,-0.058,0.494
tulu2_13b,black,0.028,0.494
tulu2_13b,asian,-0.182,0.0
tulu2_13b,asian,-0.231,0.0
tulu2_13b,asian,-0.133,0.0
gpt35,man,-0.051,0.0
gpt35,man,-0.073,0.0
gpt35,man,-0.029,0.0
gpt35,woman,-0.044,0.001
gpt35,woman,-0.07,0.001
gpt35,woman,-0.019,0.001
gpt35,white,-0.097,0.0
gpt35,white,-0.129,0.0
gpt35,white,-0.066,0.0
gpt35,black,-0.177,0.0
gpt35,black,-0.246,0.0
gpt35,black,-0.109,0.0
gpt35,asian,-0.108,0.0
gpt35,asian,-0.166,0.0
gpt35,asian,-0.05,0.0
gpt4,man,-0.074,0.0
gpt4,man,-0.11,0.0
gpt4,man,-0.039,0.0
gpt4,woman,-0.024,0.161
gpt4,woman,-0.057,0.161
gpt4,woman,0.009,0.161
gpt4,white,0.01,0.625
gpt4,white,-0.029,0.625
gpt4,white,0.049,0.625
gpt4,black,0.062,0.095
gpt4,black,-0.011,0.095
gpt4,black,0.135,0.095
gpt4,asian,-0.097,0.019
gpt4,asian,-0.177,0.019
gpt4,asian,-0.016,0.019
llama31_8b,man,0.035,0.058
llama31_8b,man,-0.001,0.058
llama31_8b,man,0.072,0.058
llama31_8b,woman,-0.057,0.003
llama31_8b,woman,-0.095,0.003
llama31_8b,woman,-0.02,0.003
llama31_8b,white,-0.059,0.005
llama31_8b,white,-0.099,0.005
llama31_8b,white,-0.018,0.005
llama31_8b,black,0.061,0.046
llama31_8b,black,0.001,0.046
llama31_8b,black,0.12,0.046
llama31_8b,asian,0.004,0.901
llama31_8b,asian,-0.064,0.901
llama31_8b,asian,0.072,0.901
mistral03_7b,man,-0.065,0.0
mistral03_7b,man,-0.086,0.0
mistral03_7b,man,-0.044,0.0
mistral03_7b,woman,0.104,0.0
mistral03_7b,woman,0.077,0.0
mistral03_7b,woman,0.131,0.0
mistral03_7b,white,-0.232,0.0
mistral03_7b,white,-0.266,0.0
mistral03_7b,white,-0.199,0.0
mistral03_7b,black,0.311,0.0
mistral03_7b,black,0.252,0.0
mistral03_7b,black,0.369,0.0
mistral03_7b,asian,0.042,0.122
mistral03_7b,asian,-0.011,0.122
mistral03_7b,asian,0.094,0.122
qwen25_7b,man,-0.01,0.452
qwen25_7b,man,-0.037,0.452
qwen25_7b,man,0.017,0.452
qwen25_7b,woman,0.069,0.0
qwen25_7b,woman,0.041,0.0
qwen25_7b,woman,0.097,0.0
qwen25_7b,white,-0.062,0.0
qwen25_7b,white,-0.094,0.0
qwen25_7b,white,-0.03,0.0
qwen25_7b,black,0.266,0.0
qwen25_7b,black,0.216,0.0
qwen25_7b,black,0.317,0.0
qwen25_7b,asian,0.11,0.0
qwen25_7b,asian,0.063,0.0
qwen25_7b,asian,0.157,0.0
