,label,man_score,woman_score,white_score,black_score,asian_score,flant5_xxl_base,flant5_xxl_male,flant5_xxl_female,flant5_xxl_white,flant5_xxl_black,flant5_xxl_asian,flan_ul2_base,flan_ul2_male,flan_ul2_female,flan_ul2_white,flan_ul2_black,flan_ul2_asian,tulu2_7b_base,tulu2_7b_male,tulu2_7b_female,tulu2_7b_white,tulu2_7b_black,tulu2_7b_asian,tulu2_13b_base,tulu2_13b_male,tulu2_13b_female,tulu2_13b_white,tulu2_13b_black,tulu2_13b_asian,gpt35_base,gpt35_male,gpt35_female,gpt35_white,gpt35_black,gpt35_asian,gpt4_base,gpt4_male,gpt4_female,gpt4_white,gpt4_black,gpt4_asian
label,1.0,0.8595970697591929,0.8861937678668074,0.9519485705461589,0.6654197686651924,0.6079137253732433,0.6310972335037462,0.6167272508716982,0.6196893147369731,0.6114909315439118,0.5929909481056643,0.6302163884986435,0.5992137656423059,0.5729758474283451,0.5629055850996536,0.5580621230876116,0.4932662462760658,0.5026798167075456,0.5096203786170137,0.4897901686010408,0.48611981715896563,0.4882449263339071,0.4845413807758098,0.4961628271977195,0.48221843155373495,0.41361240366321445,0.4169525916764751,0.442498519759601,0.4269931392597722,0.43118872281969467,0.6203918940802814,0.5539627088945869,0.6032692601517367,0.4959354190302196,0.5234146039243152,0.5424715803273265,0.7360565619499058,0.6676702285847032,0.6627888144033481,0.5767652725987605,0.48974782019070146,0.5029439708523588
man_score,0.8595970697591929,1.0,0.5884403345647524,0.8198141690010625,0.5465413279534896,0.5362351498062555,0.5319618899700346,0.5193201194596067,0.5254659129245522,0.5195337665946507,0.5099603944915532,0.5349833841843766,0.5041695312578173,0.495999280399002,0.4861893437406697,0.4972174082362768,0.4270228697967105,0.446437523850967,0.42237006027598173,0.41669216654712177,0.4071402120060726,0.39967252494071226,0.41078738699121653,0.4082418450854541,0.4152686962801709,0.3522727477272844,0.35037029924048085,0.38876556844311033,0.3620314480103083,0.3596020510761008,0.524355591371667,0.46538756220754984,0.4919888051789,0.4103135505371729,0.4154021116948088,0.46728529947949193,0.623180311734414,0.5701459754200594,0.5502773064482256,0.5044330742372621,0.4299408858575118,0.44558518909798256
woman_score,0.8861937678668074,0.5884403345647524,1.0,0.8343247207133118,0.6190129482952899,0.5410236973921523,0.5564626210841518,0.5434946064989561,0.5438629943862142,0.5376314641022173,0.5127410065060246,0.5478798680806379,0.5267648924638613,0.49107590363817266,0.48318360905796726,0.47339797196468814,0.4232306254312573,0.42521669967688924,0.44539699784806813,0.42347152301110474,0.42663758188819,0.4314264049107658,0.4248413999659936,0.44582178454883975,0.41616716734335696,0.35592067533096666,0.3614456065718602,0.37358665505831506,0.3661716047120646,0.36979544468743925,0.5436645314399717,0.48342237566384944,0.5402869107372908,0.4227464196535387,0.44462759940030966,0.4386041929237689,0.6516307047330145,0.5903985803050562,0.5962355874430936,0.5064625113038619,0.42597108599276057,0.4364229197580292
white_score,0.9519485705461589,0.8198141690010625,0.8343247207133118,1.0,0.4595408253995017,0.412190809521773,0.6019991779263252,0.590557954462123,0.5980513794282494,0.5925269639415431,0.5780133479020543,0.6082045186126138,0.5754859983861424,0.551038956793859,0.5440088078655332,0.5313268855701476,0.47054208102585043,0.4867671909413926,0.5029648550174401,0.48624381379324866,0.48008804823012347,0.48928364282554043,0.47824364079164844,0.4913546225513295,0.47389856815852693,0.40212006507911224,0.40981591500887976,0.4327759114944813,0.4204665028538389,0.42308810721455337,0.6040269324982961,0.5454112252845174,0.5826309557475394,0.46905171227896136,0.4827356026330414,0.512408036958268,0.7199791979921424,0.6534789071484292,0.650279433420227,0.5515531720782282,0.47144080866567684,0.48245988670513684
black_score,0.6654197686651924,0.5465413279534896,0.6190129482952899,0.4595408253995017,1.0,0.31331314593501536,0.4175435179452526,0.4172094649598708,0.40838300666779515,0.3716761330126513,0.36439734468805346,0.4096721996786086,0.3658734367253837,0.34548351732054744,0.33781234217197714,0.3591534997362781,0.30840647988821196,0.30960222236400126,0.2975762915974808,0.2728738259148599,0.28427344118716524,0.2633909293569601,0.2849336002987164,0.29244113477019357,0.3042920630014032,0.24796962757068955,0.23630942749739833,0.25890621964863586,0.2472204155635198,0.26073459566742024,0.3884783381467869,0.35911987265621,0.41847641495925547,0.3404227485280829,0.3000578321562813,0.36711391381640424,0.45946053350174576,0.4302459146901943,0.4114550852157176,0.3840714058124899,0.30293588381039593,0.31285897192142825
asian_score,0.6079137253732433,0.5362351498062555,0.5410236973921523,0.412190809521773,0.31331314593501536,1.0,0.34755093091023126,0.3464145369113536,0.33172850934162357,0.3471777516808613,0.32290420293015837,0.348800216499086,0.39580011849255164,0.3695571234698089,0.37031336825853267,0.3937482814057905,0.34448131523372144,0.344964074328234,0.2946989807205615,0.27226689904578233,0.28358704960968234,0.2783023291366743,0.30345126066175415,0.2960503932838152,0.28441188318350163,0.23921794241449307,0.24206163729160016,0.2921108297142175,0.24412256213773012,0.2709734959943038,0.38767714731904546,0.3209306491147436,0.3780508248644917,0.3537605042896445,0.3548193566617312,0.34931274123682227,0.42354217508853065,0.4043555811936569,0.40235982407236714,0.3796157788782125,0.3305942588340754,0.3290260727892076
flant5_xxl_base,0.6310972335037462,0.5319618899700346,0.5564626210841518,0.6019991779263252,0.4175435179452526,0.34755093091023126,1.0,0.9419615161279266,0.930495118444914,0.8554095008802991,0.823268812858052,0.9186006385395327,0.6932855594839162,0.6812210786701209,0.673292540963896,0.6340664760872088,0.5841855345550855,0.5492579161290463,0.5589967730878946,0.5443919422539574,0.5325609104754966,0.5141294335595576,0.4929933165489171,0.533046411277751,0.5483939325717324,0.45146356286135636,0.4434787079711538,0.4294614187359765,0.41790013156705375,0.3933296573874409,0.6161272698422247,0.5497564356569447,0.5464003514620525,0.4454064658209259,0.4549519805842343,0.4531690355952748,0.6694701899490033,0.548092644658972,0.519721642081438,0.44290260695276623,0.3487845618396902,0.35049665581133443
flant5_xxl_male,0.6167272508716982,0.5193201194596067,0.5434946064989561,0.590557954462123,0.4172094649598708,0.3464145369113536,0.9419615161279266,1.0,0.967244264949755,0.8438509010468042,0.8087966036290195,0.9187933454757375,0.6969670827402185,0.6879981622955694,0.6804121008416975,0.6363149083931111,0.5876569814063657,0.5585016544057533,0.5297771311630002,0.5233994827765228,0.5088652261379731,0.4962488644051745,0.4783458343173993,0.5116006289879,0.5595553108161507,0.4413139128511451,0.4285463699381819,0.41385079464526414,0.39639555183736935,0.3769900041034456,0.5796025958477695,0.5280671417499982,0.5225760866248526,0.41896913432539085,0.4393804593917757,0.43473634041361064,0.6527211080099355,0.5319093345507621,0.5101612575793176,0.42605469117857603,0.327718015254813,0.3379604121534834
flant5_xxl_female,0.6196893147369731,0.5254659129245522,0.5438629943862142,0.5980513794282494,0.40838300666779515,0.33172850934162357,0.930495118444914,0.967244264949755,1.0,0.8443496731287685,0.8175788733469492,0.9261677438523003,0.7098123206372295,0.7046076423417145,0.7001296264704254,0.6478445754339901,0.5966226209971827,0.5618274292167594,0.5481210794821204,0.5357232584334252,0.5231375599222701,0.5011827010047506,0.4833027826891453,0.5184999084715018,0.5543758254768067,0.44192386838773756,0.44053092148081946,0.41878950610207044,0.41573185444379485,0.3902843426344523,0.5984217126899309,0.5388180832695633,0.5379430149774799,0.43394910291584887,0.4705165680154352,0.4520718013034446,0.6589464825902878,0.5355360814515425,0.5158335366229847,0.4264608399068698,0.33280076654024165,0.33933354318044856
flant5_xxl_white,0.6114909315439118,0.5195337665946507,0.5376314641022173,0.5925269639415431,0.3716761330126513,0.3471777516808613,0.8554095008802991,0.8438509010468042,0.8443496731287685,1.0,0.8687124266388581,0.8800565845904587,0.6340773024073937,0.6266788736909555,0.6227006148716911,0.6261973088355627,0.5920847229935404,0.5859948037831659,0.5105485252069696,0.49560408798463784,0.48914477273885615,0.49685035409930883,0.5027101556494682,0.5169210165479335,0.5380029470286734,0.435916733360601,0.4420237681991385,0.4235190549368565,0.4260550520887645,0.4050138387801369,0.6011511464438257,0.5318594787303702,0.5324928041290592,0.4593801930833798,0.5021265000676423,0.5004171741098481,0.6482400794067293,0.5770040370309136,0.5350281987958005,0.49305974596025315,0.4115515887581683,0.41112329785327695
