instance_id,text,source,scores,users,man_score,woman_score,white_score,black_score,asian_score,nonwhite_score,label
0,"Hey E, I have a question about my juices. What would you like me to paint? Thank you.",revised,"[3.0, 4.0, 5.0, 3.0, 4.0, 3.0, 3.0]","['5ab8026547a9f7000153a324', '631f3e52174dc4e4047bbdce', '614795c351b6c8373e6225fb', '5e665d52e8177d3de2db564f', '63ecfe2832fb4c511dbeef17', '5ab3ba93fa3b4e000172b6de', '60d7b3469a65ac7408cb9dd3']",3.5,3.6666666666666665,3.6666666666666665,,,3.0,3.5714285714285716
1,"Hello Mary. Here is the outage information for LV, as requested. Please contact me if you have any further questions. -Les",revised,"[3.0, 3.0, 4.0, 5.0, 4.0, 5.0, 5.0]","['5e2c9026f4a3052be159c494', '5ea96c3da01cad04cfea50b6', '63ed27a5e1566867a961b6fc', '628e0063fa56e316da2a71cb', '611c5ecc9dbdd93c809cee27', '637b04a69794763b20491590', '6307a5e6e8a35c5eaeddb421']",4.25,5.0,4.4,,,3.5,4.142857142857143
10,we might go get some food and spirits after work if you are interested.  i am going to butt-fuck mississippi for val's wedding.  i will be in town the rest of the month so i am ready to start tearing up houston again.  let me know if you are up for drinks after work.,enron,"[1.0, 1.0, 3.0, 1.0, 3.0, 2.0, 1.0]","['5671927473f58b000d664293', '5e9c8deb90dd470441c7f98e', '62f975cbc3507ecf77180d00', '63d7d63f02fe0c728604e529', '640606633093306c279c0b97', '63e551100b466874066088d1', '5eaa0cc0fb0fca17a3006d9c']",2.25,1.0,2.0,1.0,1.0,1.0,1.7142857142857142
100,I just wanted to give you a chance to preview this information before the meeting at 4:30 PM. Just a reminder the meeting will be in my office this afternoon. See you there! ,revised,"[3.0, 5.0, 5.0, 4.0, 5.0, 5.0, 4.0]","['60fe22beeb612ead4d261590', '5c7d6064f066ff001468d0f5', '60e9c78a617cbabf4732fee6', '6174b049932ee98236563b51', '5c5c8a688089970001788f30', '615914a33224dc31f1045612', '5d85150104ad7f00180935d1']",5.0,4.2,4.428571428571429,,,,4.428571428571429
1000,"Attached please find the referenced lists.  I am not sending the list for 
4/5/00 because all of the counterparties on that list were Credit declines.  
I have responded for Australia Legal on the 4/7/00 list.  Remember, no credit 
derivatives approved unless specifically indicated (which none are).",enron,"[5.0, 4.0, 3.0, 3.0, 3.0, 2.0]","['5dde8961a4aa26f2f73d785b', '5be781ca3b047e0001a39e47', '614dd661c1fb4b13a7e99d64', '5f4aeb98fffa876b6ab5372d', '63fb4b7f05faed13656528f0', '62753ba6947edadb945d0121']",2.6666666666666665,4.0,3.3333333333333335,,,,3.3333333333333335
1001,"Dear Martin,



I wanted to express my gratitude for your recent actions. As a fellow nature enthusiast and neighbor, I appreciate your efforts to preserve and care for the trees in our community.



Your dedication to this cause does not go unnoticed, and I want to thank you for being a responsible and caring member of our community.



Sincerely,



Penny Fox",revised,"[3.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]","['60dfd857e293a99dd577f4c8', '60e9c78a617cbabf4732fee6', '63ed508fde849af6ba4b96e5', '5c0e8c65a2f251000137e916', '5e56457f6370ba0184e041b4', '640e04b278799b47b29d4ddd', '6400d8ec79eae4c9ff56d8c0']",5.0,4.0,4.714285714285714,,,,4.714285714285714
1002,"Good Morning Mark,



Hope you're doing well. I wanted to catch up on some housekeeping items before we leave for the day.

Could you please confirm that you have now signed off on each of the

following items for NA:

- NA GTC's

- NA ETA

- NA PA

- Brochure contents (including letters)

- Website Contents (including help and FAQ's)

- General legal relationship and structure of the website and the contracts.

- Long and Short descriptions

Thanks,

Dave",revised,"[4.0, 5.0, 5.0, 3.0, 5.0, 3.0, 4.0]","['5b233660648d5b0001b7de87', '60c52df5ae57d6d7918e76f0', '63f018abf8a9cc18acee5799', '63ed27a5e1566867a961b6fc', '6140adcab5864590ec9a9c79', '63e4057033c01ca76a0d8d2a', '601736d3f57edd250d376de9']",4.0,4.666666666666667,4.142857142857143,,,,4.142857142857143
1003,I don't think she will be in town right now so I am going to write her and then send the invitation.,revised,"[4.0, 2.0, 4.0, 4.0, 3.0, 5.0]","['62b369fdab5263ee3bb43c03', '63d569f583de169f7533f494', '60e9c78a617cbabf4732fee6', '60b348a8332d26d4b88be6a1', '5be87ae193ca1f00014dae06', '63655d5226651ebb9318f938']",3.6666666666666665,,3.75,,3.5,3.5,3.6666666666666665
1004,Attached are the two PAA's for the above individuals.  I followed the recommendation of Ramona (for consistency purposes) and recommended at $250.  Let me know if you have any comments.,enron,"[3.0, 3.0, 2.0, 3.0, 3.0, 5.0, 5.0]","['615b1bbb04fb28394b341ee9', '62f975cbc3507ecf77180d00', '5de7f88b762dc2775b2265b8', '5c510b41e459660001e38861', '5d32058c1f845b0016baaa65', '63655d5226651ebb9318f938', '5fb9de27e62120924c5b2176']",3.2,4.0,3.2,3.0,5.0,4.0,3.4285714285714284
1005,"Hey, you know that girl I met up with last week? I think she might have given me something, and something serious. You have any advice to give me?",revised,"[3.0, 1.0, 2.0, 1.0, 3.0, 1.0, 1.0]","['604fe63ed8fccadd22fba2b2', '636d6ce3fb3683ff33f9e514', '6065f4e7a94da95672a23bc0', '61071a0d2b914a0ea66eae94', '57a2caf8275be6000135b3aa', '6266b47e6da251268380b62b', '61110faa7e65b9b5ae70c267']",1.5,1.8,1.6666666666666667,2.0,2.0,1.75,1.7142857142857142
