model,label,coef,se,p
flant5_xxl,woman,-0.034,0.017,0.051
flant5_xxl,asian,0.252,0.031,0.0
flant5_xxl,black,0.231,0.027,0.0
flan_ul2,woman,-0.046,0.019,0.016
flan_ul2,asian,0.049,0.035,0.162
flan_ul2,black,0.064,0.031,0.037
tulu2_7b,woman,-0.024,0.021,0.251
tulu2_7b,asian,0.016,0.038,0.662
tulu2_7b,black,-0.068,0.033,0.037
tulu2_13b,woman,0.006,0.019,0.758
tulu2_13b,asian,0.127,0.031,0.0
tulu2_13b,black,0.056,0.027,0.037
gpt35,woman,-0.015,0.016,0.366
gpt35,asian,0.267,0.027,0.0
gpt35,black,0.319,0.023,0.0
gpt4,woman,-0.036,0.019,0.051
gpt4,asian,0.219,0.035,0.0
gpt4,black,0.222,0.031,0.0
llama31_8b,woman,-0.022,0.019,0.249
llama31_8b,asian,0.088,0.034,0.01
llama31_8b,black,0.085,0.03,0.005
mistral03_7b,woman,-0.027,0.02,0.179
mistral03_7b,asian,0.079,0.037,0.032
mistral03_7b,black,0.041,0.032,0.207
qwen25_7b,woman,-0.024,0.019,0.209
qwen25_7b,asian,0.113,0.034,0.001
qwen25_7b,black,0.038,0.03,0.211
