word,category
pencil,object
phone,object
computer,object
chair,object
table,object
carpet,object
bookshelf,object
lamp,object
clock,object
window,object
cat,animal
dog,animal
horse,animal
bird,animal
fish,animal
snake,animal
rabbit,animal
elephant,animal
squirrel,animal
fox,animal
school,place
hospital,place
restaurant,place
airport,place
office,place
beach,place
forest,place
church,place
library,place
theater,place
teacher,person
doctor,person
chef,person
student,person
pilot,person
firefighter,person
lawyer,person
mechanic,person
engineer,person
farmer,person
