a person,a man,a woman,a male person,a female person,a white person,a black person,an Asian person,a normal person,an ordinary person,an average person
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0
4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
