model,label,coef,p
flant5_xxl,woman,-0.034,0.051
flant5_xxl,woman,-0.068,0.051
flant5_xxl,woman,0.0,0.051
flant5_xxl,asian,0.252,0.0
flant5_xxl,asian,0.19,0.0
flant5_xxl,asian,0.313,0.0
flant5_xxl,black,0.231,0.0
flant5_xxl,black,0.177,0.0
flant5_xxl,black,0.284,0.0
flan_ul2,woman,-0.046,0.016
flan_ul2,woman,-0.084,0.016
flan_ul2,woman,-0.008,0.016
flan_ul2,asian,0.049,0.162
flan_ul2,asian,-0.02,0.162
flan_ul2,asian,0.119,0.162
flan_ul2,black,0.064,0.037
flan_ul2,black,0.004,0.037
flan_ul2,black,0.124,0.037
tulu2_7b,woman,-0.024,0.251
tulu2_7b,woman,-0.064,0.251
tulu2_7b,woman,0.017,0.251
tulu2_7b,asian,0.016,0.662
tulu2_7b,asian,-0.057,0.662
tulu2_7b,asian,0.09,0.662
tulu2_7b,black,-0.068,0.037
tulu2_7b,black,-0.132,0.037
tulu2_7b,black,-0.004,0.037
tulu2_13b,woman,0.006,0.758
tulu2_13b,woman,-0.031,0.758
tulu2_13b,woman,0.043,0.758
tulu2_13b,asian,0.127,0.0
tulu2_13b,asian,0.067,0.0
tulu2_13b,asian,0.188,0.0
tulu2_13b,black,0.056,0.037
tulu2_13b,black,0.003,0.037
tulu2_13b,black,0.109,0.037
gpt35,woman,-0.015,0.366
gpt35,woman,-0.046,0.366
gpt35,woman,0.017,0.366
gpt35,asian,0.267,0.0
gpt35,asian,0.215,0.0
gpt35,asian,0.319,0.0
gpt35,black,0.319,0.0
gpt35,black,0.273,0.0
gpt35,black,0.365,0.0
gpt4,woman,-0.036,0.051
gpt4,woman,-0.073,0.051
gpt4,woman,0.0,0.051
gpt4,asian,0.219,0.0
gpt4,asian,0.151,0.0
gpt4,asian,0.288,0.0
gpt4,black,0.222,0.0
gpt4,black,0.162,0.0
gpt4,black,0.282,0.0
llama31_8b,woman,-0.022,0.249
llama31_8b,woman,-0.059,0.249
llama31_8b,woman,0.015,0.249
llama31_8b,asian,0.088,0.01
llama31_8b,asian,0.021,0.01
llama31_8b,asian,0.155,0.01
llama31_8b,black,0.085,0.005
llama31_8b,black,0.026,0.005
llama31_8b,black,0.144,0.005
mistral03_7b,woman,-0.027,0.179
mistral03_7b,woman,-0.066,0.179
mistral03_7b,woman,0.012,0.179
mistral03_7b,asian,0.079,0.032
mistral03_7b,asian,0.007,0.032
mistral03_7b,asian,0.152,0.032
mistral03_7b,black,0.041,0.207
mistral03_7b,black,-0.023,0.207
mistral03_7b,black,0.104,0.207
qwen25_7b,woman,-0.024,0.209
qwen25_7b,woman,-0.062,0.209
qwen25_7b,woman,0.014,0.209
qwen25_7b,asian,0.113,0.001
qwen25_7b,asian,0.045,0.001
qwen25_7b,asian,0.18,0.001
qwen25_7b,black,0.038,0.211
qwen25_7b,black,-0.021,0.211
qwen25_7b,black,0.097,0.211
