model,label,coef,se,p
flant5_xxl,man,0.054,0.009,0.0
flant5_xxl,woman,0.076,0.011,0.0
flant5_xxl,white,-0.064,0.014,0.0
flant5_xxl,black,0.033,0.021,0.121
flant5_xxl,asian,0.008,0.017,0.624
flan_ul2,man,0.056,0.013,0.0
flan_ul2,woman,0.073,0.014,0.0
flan_ul2,white,-0.09,0.016,0.0
flan_ul2,black,-0.13,0.035,0.0
flan_ul2,asian,-0.298,0.048,0.0
tulu2_7b,man,-0.06,0.015,0.0
tulu2_7b,woman,-0.04,0.015,0.009
tulu2_7b,white,-0.16,0.018,0.0
tulu2_7b,black,-0.073,0.025,0.003
tulu2_7b,asian,-0.078,0.028,0.006
tulu2_13b,man,-0.176,0.012,0.0
tulu2_13b,woman,-0.265,0.014,0.0
tulu2_13b,white,-0.152,0.013,0.0
tulu2_13b,black,-0.015,0.022,0.494
tulu2_13b,asian,-0.182,0.025,0.0
gpt35,man,-0.051,0.011,0.0
gpt35,woman,-0.044,0.013,0.001
gpt35,white,-0.097,0.016,0.0
gpt35,black,-0.177,0.035,0.0
gpt35,asian,-0.108,0.029,0.0
gpt4,man,-0.074,0.018,0.0
gpt4,woman,-0.024,0.017,0.161
gpt4,white,0.01,0.02,0.625
gpt4,black,0.062,0.037,0.095
gpt4,asian,-0.097,0.041,0.019
llama31_8b,man,0.035,0.019,0.058
llama31_8b,woman,-0.057,0.019,0.003
llama31_8b,white,-0.059,0.021,0.005
llama31_8b,black,0.061,0.03,0.046
llama31_8b,asian,0.004,0.035,0.901
mistral03_7b,man,-0.065,0.011,0.0
mistral03_7b,woman,0.104,0.014,0.0
mistral03_7b,white,-0.232,0.017,0.0
mistral03_7b,black,0.311,0.03,0.0
mistral03_7b,asian,0.042,0.027,0.122
qwen25_7b,man,-0.01,0.014,0.452
qwen25_7b,woman,0.069,0.014,0.0
qwen25_7b,white,-0.062,0.016,0.0
qwen25_7b,black,0.266,0.026,0.0
qwen25_7b,asian,0.11,0.024,0.0
