model,label,coef,p
flant5_xxl,woman,-0.059,0.0
flant5_xxl,woman,-0.083,0.0
flant5_xxl,woman,-0.035,0.0
flant5_xxl,asian,0.135,0.0
flant5_xxl,asian,0.094,0.0
flant5_xxl,asian,0.177,0.0
flant5_xxl,black,0.158,0.0
flant5_xxl,black,0.124,0.0
flant5_xxl,black,0.192,0.0
flan_ul2,woman,-0.04,0.002
flan_ul2,woman,-0.065,0.002
flan_ul2,woman,-0.015,0.002
flan_ul2,asian,0.14,0.0
flan_ul2,asian,0.096,0.0
flan_ul2,asian,0.184,0.0
flan_ul2,black,0.068,0.0
flan_ul2,black,0.032,0.0
flan_ul2,black,0.104,0.0
tulu2_7b,woman,-0.002,0.835
tulu2_7b,woman,-0.025,0.835
tulu2_7b,woman,0.02,0.835
tulu2_7b,asian,0.2,0.0
tulu2_7b,asian,0.16,0.0
tulu2_7b,asian,0.239,0.0
tulu2_7b,black,0.218,0.0
tulu2_7b,black,0.186,0.0
tulu2_7b,black,0.251,0.0
tulu2_13b,woman,-0.023,0.042
tulu2_13b,woman,-0.045,0.042
tulu2_13b,woman,-0.001,0.042
tulu2_13b,asian,0.204,0.0
tulu2_13b,asian,0.167,0.0
tulu2_13b,asian,0.241,0.0
tulu2_13b,black,0.238,0.0
tulu2_13b,black,0.207,0.0
tulu2_13b,black,0.268,0.0
gpt35,woman,-0.008,0.468
gpt35,woman,-0.029,0.468
gpt35,woman,0.013,0.468
gpt35,asian,0.206,0.0
gpt35,asian,0.171,0.0
gpt35,asian,0.24,0.0
gpt35,black,0.27,0.0
gpt35,black,0.241,0.0
gpt35,black,0.299,0.0
gpt4,woman,-0.065,0.0
gpt4,woman,-0.089,0.0
gpt4,woman,-0.041,0.0
gpt4,asian,0.172,0.0
gpt4,asian,0.131,0.0
gpt4,asian,0.214,0.0
gpt4,black,0.106,0.0
gpt4,black,0.072,0.0
gpt4,black,0.14,0.0
llama31_8b,woman,-0.047,0.0
llama31_8b,woman,-0.07,0.0
llama31_8b,woman,-0.023,0.0
llama31_8b,asian,0.132,0.0
llama31_8b,asian,0.092,0.0
llama31_8b,asian,0.173,0.0
llama31_8b,black,0.187,0.0
llama31_8b,black,0.154,0.0
llama31_8b,black,0.22,0.0
mistral03_7b,woman,-0.007,0.527
mistral03_7b,woman,-0.029,0.527
mistral03_7b,woman,0.015,0.527
mistral03_7b,asian,0.177,0.0
mistral03_7b,asian,0.139,0.0
mistral03_7b,asian,0.215,0.0
mistral03_7b,black,0.241,0.0
mistral03_7b,black,0.21,0.0
mistral03_7b,black,0.273,0.0
qwen25_7b,woman,-0.02,0.086
qwen25_7b,woman,-0.044,0.086
qwen25_7b,woman,0.003,0.086
qwen25_7b,asian,0.107,0.0
qwen25_7b,asian,0.067,0.0
qwen25_7b,asian,0.147,0.0
qwen25_7b,black,0.231,0.0
qwen25_7b,black,0.198,0.0
qwen25_7b,black,0.264,0.0
